FNAM	LNAM	AGE	ID
John	Smit	21	6594
John	Smit	21	6598
John	Smit	21	4844
John	Smit	21	1692
John	Smit	21	7451
John	Smit	21	3334
John	Smit	21	459
John	Smit	21	5805
John	Smit	21	308
John	Smit	21	9108
John	Smit	21	9969
John	Smit	21	7535
John	Smit	21	6890
John	Smit	21	9011
John	Smit	21	1482
John	Smit	21	2821
John	Smit	21	7812
John	Smit	21	3773
John	Smit	21	9857
John	Smit	21	7230
John	Smit	21	518
John	Smit	21	2141
John	Smit	21	4708
John	Smit	21	8478
John	Smit	21	1044
John	Smit	21	1968
John	Smit	21	9236
John	Smit	21	6405
